-871823.526291754,-880031.317461838,nan
-871836.884514462,-880016.91056155,nan
-871850.241729798,-880002.502681988,nan
-871863.48152063,-879988.210704949,nan
-871876.838262498,-879973.802422488,nan
-871890.194613085,-879959.394089868,0
-871903.433698487,-879945.101512934,0
-871916.789729171,-879930.692625266,0
-871930.145522148,-879916.283535277,0
-871943.501077415,-879901.874242971,0
-871956.856241399,-879887.464900537,nan
-871970.211321239,-879873.05520361,nan
-871983.683332914,-879858.529183519,0
-871997.037935392,-879844.119080207,0
-872010.392300143,-879829.708774596,nan
-872023.74627361,-879815.298418888,0
-872037.100162903,-879800.887708695,0
-872050.454584353,-879786.477572938,nan
-872063.807998187,-879772.066458165,nan
-872076.573728696,-879757.062521824,nan
-872089.926504117,-879742.651164024,0
-872103.279195336,-879728.239451745,0
-872116.631648807,-879713.827537202,nan
-872130.101012875,-879699.29928004,nan
-872142.865342815,-879684.294538794,nan
-872156.217071718,-879669.882025016,nan
-872169.568562859,-879655.469308988,nan
-872182.919816234,-879641.056390713,nan
-872195.800440334,-879625.934585746,0
-872209.151053348,-879611.521422758,0
-872222.618716837,-879596.991752633,0
-872235.382217583,-879581.986300496,0
-872248.7322595,-879567.572386118,0
-872262.081910122,-879553.158421755,0
-872274.843889953,-879538.151623671,nan
-872288.193209132,-879523.737111957,0
-872300.954685246,-879508.729937409,nan
-872314.303519456,-879494.315030596,0
-872327.65196237,-879479.900073829,0
-872340.412687578,-879464.892329959,nan
-872353.643683791,-879450.592996011,nan
-872366.403907254,-879435.584877419,nan
-872379.164644352,-879420.577351701,nan
-872392.511872037,-879406.161413717,0
-872405.388442492,-879391.036558164,nan
-872418.73533673,-879376.62007111,nan
-872431.494294114,-879361.611014495,0
-872444.135893539,-879346.717956552,0
-872457.481903991,-879332.301035686,0
-872470.240103012,-879317.2914209,nan
-872482.880949969,-879302.397809959,nan
-872495.638637819,-879287.387829863,0
-872508.867502933,-879273.08694496,nan
-872521.624688985,-879258.076590233,0
-872534.264377389,-879243.182398495,nan
-872547.021052251,-879228.171678495,0
-872560.248179262,-879213.869247103,0
-872573.004352292,-879198.858152517,0
-872585.643189008,-879183.963075494,0
-872598.51577509,-879168.83556523,nan
-872611.154102589,-879153.940124676,nan
-872623.910021618,-879138.929074115,nan
-872636.547841882,-879124.033271716,0
-872649.185409513,-879109.137289249,nan
-872661.939792267,-879094.124915538,0
-872687.213506937,-879064.332199249,nan
-872699.967123816,-879049.319278627,0
-872712.603424267,-879034.422392518,nan
-872725.240242599,-879019.526102454,0
-872737.993093588,-879004.512634945,0
-872750.628480697,-878989.615359349,0
-872763.263768564,-878974.717751404,nan
-872775.89880377,-878959.819963432,0
-872788.65063419,-878944.805767385,0
-872801.402207961,-878929.79138794,0
-872814.036481203,-878914.893056552,nan
-872826.083130851,-878899.403393974,nan
-872838.833929307,-878884.38847708,nan
-872851.467433272,-878869.489613241,0
-872864.100684558,-878854.590569405,nan
-872876.733683165,-878839.691345579,0
-872889.366429089,-878824.791941766,nan
-872901.998922326,-878809.89235797,nan
-872914.042956259,-878794.400731908,nan
-872926.675705557,-878779.501573308,0
-872939.30743145,-878764.601458834,0
-872951.938904648,-878749.701164395,0
-872964.570125147,-878734.800689994,nan
-872976.612993279,-878719.30806728,nan
-872989.243699088,-878704.407242225,nan
-873001.991012693,-878689.390133125,nan
-873014.621981915,-878674.489722304,0
-873026.66379075,-878658.99642448,nan
-873039.293474465,-878644.094887221,0
-873051.922905464,-878629.193170031,nan
-873063.963919016,-878613.699369446,nan
-873076.475833491,-878598.913568062,0
-873089.104345685,-878584.011474425,0
-873101.145336895,-878568.517948449,0
-873113.656491925,-878553.731623203,0
-873126.284391991,-878538.828848384,nan
-873138.323819058,-878523.334045596,0
-873150.834214606,-878508.547196538,nan
-873162.873110416,-878493.052063345,nan
-873175.382997218,-878478.264868713,0
-873187.538963092,-878462.654051998,nan
-873200.048339185,-878447.866510137,0
-873212.086170408,-878432.370714574,nan
-873224.595037736,-878417.582827175,nan
-873236.515362074,-878402.202988973,nan
-873249.023722598,-878387.414757721,0
-873261.060493312,-878371.918303077,0
-873273.569116116,-878357.130501874,nan
-873285.488387989,-878341.750011136,nan
-873297.407239351,-878326.369514687,0
-873309.914326267,-878311.580426789,0
-873321.832805699,-878296.199452492,0
-873333.751017913,-878280.818320081,nan
-873346.258111105,-878266.02949657,nan
-873358.175798086,-878250.648038741,nan
-873370.093217845,-878235.26642281,nan
-873382.1273217,-878219.768341696,0
-873394.044204957,-878204.386407989,nan
-873406.549244107,-878189.595961707,nan
-873418.466373305,-878174.214478048,nan
-873430.382310806,-878158.832213333,0
-873442.298134342,-878143.449638104,nan
-873454.213690638,-878128.066904805,nan
-873466.128979695,-878112.684013441,nan
-873478.04477278,-878097.301739366,nan
-873489.959527362,-878081.918531874,0
-873501.874014699,-878066.535166332,nan
-873513.788234788,-878051.151642744,nan
-873525.702187627,-878035.767961114,0
-873537.615873214,-878020.384121446,0
-873549.530062888,-878005.000899023,nan
-873561.559981397,-877989.500564766,0
-873573.589781777,-877973.999916835,0
-873585.502394252,-877958.615441882,0
-873597.414739465,-877943.230808916,0
-873609.444501248,-877927.730455795,0
-873620.767721047,-877911.754025382,nan
-873632.796161472,-877896.252585526,nan
-873644.707424338,-877880.867326557,0
-873656.735324059,-877865.365565942,0
-873668.174944798,-877849.27312897,nan
-873680.202292487,-877833.771055272,nan
-873692.229368783,-877818.26882041,0
-873703.667520038,-877802.175009389,0
-873715.694044275,-877786.672461484,0
-873727.132396457,-877770.579131076,nan
-873739.275104868,-877754.960067983,0
-873750.829000062,-877738.749310301,0
-873762.971301229,-877723.12977535,0
-873774.407734258,-877707.035076366,nan
-873786.550248638,-877691.415998722,0
-873798.102987724,-877675.2046413,0
-873810.244016892,-877659.584621798,0
-873821.79617683,-877643.372963775,0
-873833.348814151,-877627.161935121,0
-873845.489151136,-877611.541288826,nan
-873857.040437675,-877595.329184605,nan
-873868.591276794,-877579.117087305,nan
-873880.847632301,-877563.379593288,nan
-873892.398814952,-877547.167816313,nan
-873903.948931661,-877530.955118821,nan
-873915.615458375,-877514.626050149,nan
-873927.164984405,-877498.413059973,nan
-873938.948694075,-877481.967936642,nan
-873950.497627269,-877465.754652248,0
-873962.16296179,-877449.424990504,nan
-873973.711304292,-877433.211413467,nan
-873985.37696872,-877416.882078288,0
-873996.92472053,-877400.668208616,nan
-874008.588865005,-877384.337955439,nan
-874020.136026108,-877368.123793166,nan
-874031.799728672,-877351.793091765,nan
-874043.347070912,-877335.57941167,0
-874055.010025312,-877319.248567148,0
-874065.967061315,-877302.442695315,nan
-874077.630336253,-877286.112186767,0
-874089.175715877,-877269.897156152,nan
-874100.131829454,-877253.090883812,nan
-874111.910098879,-877236.642915615,nan
-874122.866363342,-877219.837152161,0
-874133.821542918,-877203.030487277,0
-874145.482232526,-877186.698345515,0
-874156.43664018,-877169.891568902,0
-874167.391659959,-877153.085287621,nan
-874178.345594798,-877136.278104982,0
-874189.299216674,-877119.470795629,0
-874200.13649505,-877102.780550192,0
-874210.50027496,-877085.38213908,nan
-874221.336152841,-877068.690879297,nan
-874231.700206304,-877051.292866276,nan
-874242.535455709,-877034.601366758,nan
-874252.781294344,-877017.318778357,nan
-874262.910789184,-877000.15328369,0
-874273.155976132,-876982.870486293,nan
-874283.517467311,-876965.471309198,0
-874293.056848968,-876947.714575116,0
-874303.184266061,-876930.547901291,0
-874312.722975447,-876912.790989976,nan
-874322.143797043,-876895.149652503,0
-874331.565054806,-876877.50900802,0
-874340.985204382,-876859.867507659,nan
-874350.405017938,-876842.225925867,nan
-874359.119299431,-876824.110610518,0
-874368.421671122,-876806.585314727,0
-874377.135263003,-876788.469868735,nan
-874385.730975028,-876770.470028357,nan
-874394.32711481,-876752.470903885,nan
