X,Y,yr,doy,top,bed,thk
-859141.2682603201,-825058.9449905726,2014,84,597.512,371.662,225.85
-859141.9232547941,-825073.409445373,2014,84,597.9375,370.6575,227.28
-859142.6781114341,-825088.0853459813,2014,84,598.3917,362.6517,235.74
-859143.5404060726,-825102.8070284671,2014,84,598.8674,355.3874,243.48
-859144.3524958186,-825117.4230957326,2014,84,599.3639,357.9539,241.4
-859145.2500371338,-825132.2656106314,2014,84,599.8866,362.1866,237.7
-859146.1193637169,-825146.8218449659,2014,84,600.4215,356.9415,243.48
-859147.0817301612,-825161.4388584502,2014,84,600.97260000000006,346.2926,254.68
-859148.0871206506,-825176.0109609063,2014,84,601.5374,337.6174,263.92
-859149.1999533881,-825190.6288500081,2014,84,602.112,334.042,268.06
-859150.3338127751,-825205.3824976294,2014,84,602.7052,333.2052,269.5
-859151.4250766333,-825219.8648532128,2014,84,603.2964,333.1064,270.19
-859152.6017804543,-825234.5736671768,2014,84,603.9008,333.7108,270.19
-859153.8291158653,-825249.0718964511,2014,84,604.5009,332.9309,271.57
-859155.1562906788,-825263.7815929845,2014,84,605.112,330.672,274.44
-859156.4408858075,-825278.2199925375,2014,84,605.7168,329.8968,275.82
-859157.8109138667,-825292.8848570692,2014,84,606.3315,330.5115,275.82
-859159.2095710066,-825307.5198085868,2014,84,606.948,329.748,277.2
-859160.6512633453,-825322.109851761,2014,84,606.3466,326.9666,279.38
-859162.1859956965,-825336.760686129,2014,84,604.4077,325.0877,279.32
-859163.678167875,-825351.1402169239,2014,84,605.0128,323.6328,281.39
-859165.2625483588,-825365.8969074995,2014,84,608.2079,321.7679,286.44
-859166.8831833424,-825380.4580041602,2014,84,610.0668,322.2968,287.77
-859168.6036399467,-825395.2305838295,2014,84,609.4761,321.7061,287.77
-859170.2103660271,-825409.4904592236,2014,84,607.5491,320.4191,287.13
-859171.9880959828,-825424.2032158372,2014,84,608.1904,321.9104,286.28
-859173.7876871949,-825438.7353712666,2014,84,610.1431,321.5931,288.56
-859175.6226930704,-825453.3883061989,2014,84,609.4641,321.0141,288.45
-859177.4795669537,-825467.8606379945,2014,84,610.0952,318.8852,291.21
-859179.3574474731,-825482.4687459779,2014,84,613.2847,313.4747,299.81
-859181.2716098557,-825496.8812533881,2014,84,613.9158,312.0258,301.89
-859183.2999909135,-825511.4902595105,2014,84,613.2377,314.9577,298.28
-859185.3426081153,-825526.0843509327,2014,84,615.2017,318.2517,296.95
-859187.4215168708,-825540.4828399104,2014,84,617.0687,320.8587,296.21
-859189.5358369503,-825555.0021136833,2014,84,617.7171,321.4971,296.21
-859191.6643969769,-825569.5064722059,2014,84,618.3678,322.0978,296.26
-859193.8436684721,-825583.8002293749,2014,84,619.0108,324.9208,294.08
-859196.1227434237,-825598.3054892551,2014,84,619.6625,326.2725,293.39
-859198.5016154875,-825613.0222559231,2014,84,620.3212,325.4912,294.83
-859200.8379939358,-825627.467696066,2014,84,620.9683,324.0683,296.9
-859203.2174378796,-825641.8682293262,2014,84,621.6115,321.8415,299.77
-859205.6899285099,-825656.3295701423,2014,84,622.2496,320.4096,301.84
-859208.2122329386,-825670.8967081906,2014,84,622.8906,319.6206,303.27
-859210.7564489973,-825685.2832328764,2014,84,623.5167,319.5567,303.96
-859213.321656933,-825699.8055479047,2014,84,624.1456,319.4956,304.65
-859216.0164031025,-825714.1929804283,2014,84,624.7577,318.6677,306.09
-859218.6610154145,-825728.474776764,2014,84,625.3609,317.8909,307.47
-859221.4054150889,-825742.9680914589,2014,84,625.9638,317.0638,308.9
-859224.1861540066,-825757.265792221,2014,84,626.5495,316.2695,310.28
-859227.0022940424,-825771.6842909268,2014,84,628.3555,315.2655,313.09
-859229.9191632139,-825785.9978977486,2014,84,631.4646,314.1246,317.34
-859232.7926374279,-825800.3565760413,2014,84,633.2636,313.1036,320.16
-859235.8590963734,-825814.9875138787,2014,84,633.8311,312.9811,320.85
-859238.7975938899,-825829.1206636907,2014,84,634.3754,312.8354,321.54
-859241.9146639131,-825843.541071159,2014,84,634.9198,310.5698,324.35
-859244.9816126556,-825857.8558385066,2014,84,635.4568,306.8568,328.6
-859248.0916492825,-825872.1256984646,2014,84,635.9868,303.8768,332.11
-859251.2947386192,-825886.456376044,2014,84,636.512,301.592,334.92
-859254.5476358436,-825900.8928631907,2014,84,637.0407,300.0007,337.04
-859257.8080765567,-825915.16372072,2014,84,637.561,299.831,337.73
-859261.1971151159,-825929.6161223026,2014,84,638.0876,301.7376,336.35
-859264.5226158584,-825943.6614428187,2014,84,638.5997,305.1097,333.49
-859267.8758076441,-825957.9932869071,2014,84,639.1262,307.0262,332.1
-859271.3441747258,-825972.2052380048,2014,84,639.6465,305.4665,334.18
-859274.8479330648,-825986.5379993476,2014,84,640.1747,302.3947,337.78
-859278.3736682347,-826000.6901281297,2014,84,640.6956,302.2656,338.43
-859281.9492108715,-826014.9480707961,2014,84,641.2235,303.4935,337.73
-859285.5323203228,-826029.0403757191,2014,84,641.7446,301.9346,339.81
-859289.2296061979,-826043.3292306132,2014,84,642.2736,298.1736,344.1
-859292.9699967024,-826057.573177477,2014,84,642.8032,296.6232,346.18
-859296.6602912447,-826071.7114743723,2014,84,643.333,296.463,346.87
-859300.5368467815,-826085.9713376228,2014,84,643.8628,294.8728,348.99
-859304.3633093269,-826100.1255501092,2014,84,644.393,292.583,351.81
-859308.2328839337,-826114.2348525799,2014,84,644.9234,290.3034,354.62
-859312.1955187984,-826128.4049810268,2014,84,645.454,288.704,356.75
-859316.1157970855,-826142.3037271309,2014,84,645.9779,288.5379,357.44
-859320.1569329794,-826156.5497634255,2014,84,646.5161,289.0761,357.44
-859324.2200796781,-826170.6151557482,2014,84,647.047,289.607,357.44
-859328.3119269799,-826184.6506346023,2014,84,647.5768,288.7568,358.82
-859332.4535778451,-826198.7919357225,2014,84,648.1112,286.4312,361.68
-859336.6028293354,-826212.767587124,2014,84,647.4043,285.7243,361.68
-859340.8806646322,-826226.9248059205,2014,84,646.6096,286.4196,360.19
-859345.1805260873,-826240.9013751219,2014,84,648.4419,286.7619,361.68
-859349.5157700256,-826254.9987672736,2014,84,650.1837,287.1237,363.06
-859353.8730463851,-826268.9155072003,2014,84,649.4601,287.0801,362.37
-859358.2657048454,-826282.9530708882,2014,84,647.405,285.775,361.63
-859362.6804019571,-826296.8099797086,2014,84,646.665,283.595,363.07
